gene_id,gc
NC_002122.1_1,0.4256
NC_002122.1_2,0.5112
NC_002122.1_3,0.5595
NC_002122.1_4,0.5088
NC_002122.1_5,0.5382
NC_002122.1_6,0.5843
NC_002122.1_7,0.5816
NC_002122.1_8,0.5529
NC_002122.1_9,0.4855
NC_002122.1_10,0.5597
NC_002122.1_11,0.5448
NC_002122.1_12,0.5887
NC_002122.1_13,0.5171
NC_002122.1_14,0.6023
NC_002122.1_15,0.6338
NC_002122.1_16,0.5000
NC_002122.1_17,0.5650
NC_002122.1_18,0.5329
NC_002122.1_19,0.6071
NC_002122.1_20,0.5655
NC_002122.1_21,0.5315
NC_002122.1_22,0.5541
NC_002122.1_23,0.5458
NC_002122.1_24,0.5141
NC_002122.1_25,0.5571
NC_002122.1_26,0.5153
NC_002122.1_27,0.4293
NC_002122.1_28,0.4404
NC_002122.1_29,0.4466
NC_002122.1_30,0.4248
NC_002122.1_31,0.5897
NC_002122.1_32,0.5700
NC_002122.1_33,0.5782
NC_002122.1_34,0.6275
NC_002122.1_35,0.4783
NC_002122.1_36,0.5489
NC_002122.1_37,0.5271
NC_002122.1_38,0.6396
NC_002122.1_39,0.5514
NC_002122.1_40,0.3362
NC_002122.1_41,0.4583
NC_002122.1_42,0.4781
NC_002122.1_43,0.5041
NC_002122.1_44,0.3778
NC_002122.1_45,0.3858
NC_002122.1_46,0.3974
NC_002122.1_47,0.5063
NC_002122.1_48,0.5630
NC_002122.1_49,0.5390
NC_002122.1_50,0.5148
NC_002122.1_51,0.5590
NC_002122.1_52,0.4479
NC_002122.1_53,0.4363
NC_002122.1_54,0.5015
NC_002122.1_55,0.5326
NC_002122.1_56,0.5843
NC_002122.1_57,0.3805
NC_002122.1_58,0.3653
NC_002122.1_59,0.5028
NC_002122.1_60,0.4840
NC_002122.1_61,0.4926
NC_002122.1_62,0.4900
NC_002122.1_63,0.4393
NC_002122.1_64,0.4698
NC_002122.1_65,0.4417
NC_002122.1_66,0.4374
NC_002122.1_67,0.4367
NC_002122.1_68,0.4201
NC_002122.1_69,0.4695
NC_002122.1_70,0.4883
NC_002122.1_71,0.4352
NC_002122.1_72,0.4692
NC_002122.1_73,0.4017
NC_002122.1_74,0.5120
NC_002122.1_75,0.5250
NC_002122.1_76,0.5152
NC_002122.1_77,0.4983
NC_002122.1_78,0.4964
NC_002122.1_79,0.5435
NC_002122.1_80,0.5287
NC_002122.1_81,0.5094
NC_002122.1_82,0.5407
NC_002122.1_83,0.5101
NC_002122.1_84,0.5064
NC_002122.1_85,0.5246
NC_002122.1_86,0.5012
NC_002122.1_87,0.4868
NC_002122.1_88,0.5081
NC_002122.1_89,0.5087
NC_002122.1_90,0.5220
NC_002122.1_91,0.5303
NC_002122.1_92,0.4838
NC_002122.1_93,0.4661
NC_002122.1_94,0.3952
NC_002122.1_95,0.3905
NC_002122.1_96,0.3955
NC_002122.1_97,0.5079
NC_002122.1_98,0.4615
NC_002122.1_99,0.5120
NC_002122.1_100,0.5117
NC_002122.1_101,0.4983
NC_002122.1_102,0.5193
NC_002122.1_103,0.4545
NC_002134.1_1,0.4687
NC_002134.1_2,0.4380
NC_002134.1_3,0.4747
NC_002134.1_4,0.4930
NC_002134.1_5,0.6125
NC_002134.1_6,0.5747
NC_002134.1_7,0.5799
NC_002134.1_8,0.4491
NC_002134.1_9,0.3597
NC_002134.1_10,0.3266
NC_002134.1_11,0.4328
NC_002134.1_12,0.4022
NC_002134.1_13,0.4119
NC_002134.1_14,0.3902
NC_002134.1_15,0.3489
NC_002134.1_16,0.3947
NC_002134.1_17,0.3810
NC_002134.1_18,0.4206
NC_002134.1_19,0.4508
NC_002134.1_20,0.5865
NC_002134.1_21,0.5128
NC_002134.1_22,0.5758
NC_002134.1_23,0.5517
NC_002134.1_24,0.5798
NC_002134.1_25,0.5727
NC_002134.1_26,0.5714
NC_002134.1_27,0.5156
NC_002134.1_28,0.5532
NC_002134.1_29,0.5446
NC_002134.1_30,0.6111
NC_002134.1_31,0.5747
NC_002134.1_32,0.5405
NC_002134.1_33,0.5789
NC_002134.1_34,0.3904
NC_002134.1_35,0.4153
NC_002134.1_36,0.3652
NC_002134.1_37,0.4135
NC_002134.1_38,0.5397
NC_002134.1_39,0.5362
