replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
NC_002122.1	NC_002122.1_8	arda	8	defense-finder-models/ADF/Anti_RM/arda_ardu	NC_002122.1_arda_ardu_1	1	1	1.0	1.0	1	arda	mandatory	167	3.7e-97	315.6	0.982	0.988	1	165			Anti_RM	arda_ardu	Antidefense
NC_002122.1	NC_002122.1_10	psib	10	defense-finder-models/ADF/Other/psiab	NC_002122.1_psiab_3	1	1	1.0	2.0	1	psib	mandatory	240	1e-64	210.8	0.975	0.975	4	237			Other	psiab	Antidefense
NC_002122.1	NC_002122.1_11	psia	11	defense-finder-models/ADF/Other/psiab	NC_002122.1_psiab_3	1	1	1.0	2.0	1	psia	mandatory	145	3.9e-89	288.2	0.993	0.986	1	143			Other	psiab	Antidefense
NC_002122.1	NC_002122.1_17	ardb	17	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_002122.1_ardb_klca_acric11_2	1	1	1.0	1.0	1	ardb	mandatory	142	4.3e-94	304.2	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_002134.1	NC_002134.1_4	Mok_Hok_Sok__Mok	4	defense-finder-models/DefenseFinder/Mok_Hok_Sok/Mok_Hok_Sok	NC_002134.1_Mok_Hok_Sok_2	1	1	0.5	1.0	1	Mok_Hok_Sok__Mok	mandatory	71	4e-52	167.2	0.897	0.986	1	70			Mok_Hok_Sok	Mok_Hok_Sok	Defense
NC_002134.1	NC_002134.1_5	psib	5	defense-finder-models/ADF/Other/psiab	NC_002134.1_psiab_4	1	1	1.0	2.0	1	psib	mandatory	240	9.5e-72	233.9	0.975	0.975	4	237			Other	psiab	Antidefense
NC_002134.1	NC_002134.1_6	psia	6	defense-finder-models/ADF/Other/psiab	NC_002134.1_psiab_4	1	1	1.0	2.0	1	psia	mandatory	145	3.9e-93	301.2	0.993	0.986	1	143			Other	psiab	Antidefense
NC_002134.1	NC_002134.1_29	ardb	29	defense-finder-models/ADF/Anti_RM/ardb_klca_acric11	NC_002134.1_ardb_klca_acric11_3	1	1	1.0	1.0	1	ardb	mandatory	142	3.3e-95	308.0	1.0	0.993	1	141			Anti_RM	ardb_klca_acric11	Antidefense
NC_002134.1	NC_002134.1_66	MazEF__MazF	66	defense-finder-models/DefenseFinder/MazEF/MazEF	NC_002134.1_MazEF_1	1	1	1.0	2.0	1	MazEF__MazF	mandatory	111	1.4e-16	53.2	0.919	0.973	2	109			MazEF	MazEF	Defense
NC_002134.1	NC_002134.1_67	MazEF__MazE	67	defense-finder-models/DefenseFinder/MazEF/MazEF	NC_002134.1_MazEF_1	1	1	1.0	2.0	1	MazEF__MazE	mandatory	86	3.2e-13	42.4	0.762	0.709	4	64			MazEF	MazEF	Defense
